"imageId";"imageName";"localPath"
1;"Ruby_necklace_detail.png";"./assets/item_images_detail/Ruby_necklace_detail.png"
2;"Ring_of_forging_detail.png";"./assets/item_images_detail/Ring_of_forging_detail.png"
3;"3rd_age_bow_detail.png";"./assets/item_images_detail/3rd_age_bow_detail.png"
4;"3rd_age_axe_detail.png";"./assets/item_images_detail/3rd_age_axe_detail.png"
5;"3rd_age_cloak_detail.png";"./assets/item_images_detail/3rd_age_cloak_detail.png"
6;"Bronze_fire_arrows_%28unlit%29_detail.png";"./assets/item_images_detail/Bronze_fire_arrows_%28unlit%29_detail.png"
7;"Angler_hat_detail.png";"./assets/item_images_detail/Angler_hat_detail.png"
8;"Bunny_ears_detail.png";"./assets/item_images_detail/Bunny_ears_detail.png"
9;"Bonesack_detail.png";"./assets/item_images_detail/Bonesack_detail.png"
10;"Black_defender_detail.png";"./assets/item_images_detail/Black_defender_detail.png"
11;"Ferocious_gloves_detail.png";"./assets/item_images_detail/Ferocious_gloves_detail.png"
12;"Odium_ward_%28or%29_detail.png";"./assets/item_images_detail/Odium_ward_%28or%29_detail.png"
13;"Black_navy_slacks_detail.png";"./assets/item_images_detail/Black_navy_slacks_detail.png"
14;"Barbed_arrow_detail.png";"./assets/item_images_detail/Barbed_arrow_detail.png"
15;"Rune_defender_%28t%29_detail.png";"./assets/item_images_detail/Rune_defender_%28t%29_detail.png"
16;"Desert_amulet_2_detail.png";"./assets/item_images_detail/Desert_amulet_2_detail.png"
17;"Barbed_bolts_detail.png";"./assets/item_images_detail/Barbed_bolts_detail.png"
18;"Amulet_of_chemistry_detail.png";"./assets/item_images_detail/Amulet_of_chemistry_detail.png"
19;"Castle_wars_bracelet_detail.png";"./assets/item_images_detail/Castle_wars_bracelet_detail.png"
20;"Gold_helmet_detail.png";"./assets/item_images_detail/Gold_helmet_detail.png"
21;"Dragonstone_bracelet_detail.png";"./assets/item_images_detail/Dragonstone_bracelet_detail.png"
22;"Rune_defender_detail.png";"./assets/item_images_detail/Rune_defender_detail.png"
23;"Corrupted_plateskirt_detail.png";"./assets/item_images_detail/Corrupted_plateskirt_detail.png"
24;"Harralander_tar_detail.png";"./assets/item_images_detail/Harralander_tar_detail.png"
25;"Clown_bow_tie_detail.png";"./assets/item_images_detail/Clown_bow_tie_detail.png"
26;"Light_infinity_top_detail.png";"./assets/item_images_detail/Light_infinity_top_detail.png"
27;"Bruma_torch_detail.png";"./assets/item_images_detail/Bruma_torch_detail.png"
28;"Toktz-xil-ek_detail.png";"./assets/item_images_detail/Toktz-xil-ek_detail.png"
29;"Dharok%27s_helm_detail.png";"./assets/item_images_detail/Dharok%27s_helm_detail.png"
30;"Armadyl_cloak_detail.png";"./assets/item_images_detail/Armadyl_cloak_detail.png"
31;"10th_squad_sigil_detail.png";"./assets/item_images_detail/10th_squad_sigil_detail.png"
32;"3rd_age_amulet_detail.png";"./assets/item_images_detail/3rd_age_amulet_detail.png"
33;"3rd_age_druidic_cloak_detail.png";"./assets/item_images_detail/3rd_age_druidic_cloak_detail.png"
34;"3rd_age_druidic_robe_bottoms_detail.png";"./assets/item_images_detail/3rd_age_druidic_robe_bottoms_detail.png"
35;"3rd_age_druidic_robe_top_detail.png";"./assets/item_images_detail/3rd_age_druidic_robe_top_detail.png"
36;"3rd_age_druidic_staff_detail.png";"./assets/item_images_detail/3rd_age_druidic_staff_detail.png"
37;"3rd_age_full_helmet_detail.png";"./assets/item_images_detail/3rd_age_full_helmet_detail.png"
38;"3rd_age_kiteshield_detail.png";"./assets/item_images_detail/3rd_age_kiteshield_detail.png"
39;"3rd_age_longsword_detail.png";"./assets/item_images_detail/3rd_age_longsword_detail.png"
40;"3rd_age_mage_hat_detail.png";"./assets/item_images_detail/3rd_age_mage_hat_detail.png"
41;"3rd_age_pickaxe_detail.png";"./assets/item_images_detail/3rd_age_pickaxe_detail.png"
42;"3rd_age_platebody_detail.png";"./assets/item_images_detail/3rd_age_platebody_detail.png"
43;"3rd_age_platelegs_detail.png";"./assets/item_images_detail/3rd_age_platelegs_detail.png"
44;"3rd_age_plateskirt_detail.png";"./assets/item_images_detail/3rd_age_plateskirt_detail.png"
45;"3rd_age_range_coif_detail.png";"./assets/item_images_detail/3rd_age_range_coif_detail.png"
46;"3rd_age_range_legs_detail.png";"./assets/item_images_detail/3rd_age_range_legs_detail.png"
47;"3rd_age_range_top_detail.png";"./assets/item_images_detail/3rd_age_range_top_detail.png"
48;"3rd_age_robe_detail.png";"./assets/item_images_detail/3rd_age_robe_detail.png"
49;"3rd_age_robe_top_detail.png";"./assets/item_images_detail/3rd_age_robe_top_detail.png"
50;"3rd_age_vambraces_detail.png";"./assets/item_images_detail/3rd_age_vambraces_detail.png"
51;"3rd_age_wand_detail.png";"./assets/item_images_detail/3rd_age_wand_detail.png"
52;"4th_birthday_hat_detail.png";"./assets/item_images_detail/4th_birthday_hat_detail.png"
53;"A_powdered_wig_detail.png";"./assets/item_images_detail/A_powdered_wig_detail.png"
54;"Abyssal_bludgeon_detail.png";"./assets/item_images_detail/Abyssal_bludgeon_detail.png"
55;"Abyssal_bracelet_detail.png";"./assets/item_images_detail/Abyssal_bracelet_detail.png"
56;"Abyssal_dagger_detail.png";"./assets/item_images_detail/Abyssal_dagger_detail.png"
57;"Abyssal_tentacle_detail.png";"./assets/item_images_detail/Abyssal_tentacle_detail.png"
58;"Abyssal_whip_detail.png";"./assets/item_images_detail/Abyssal_whip_detail.png"
59;"Accumulator_max_cape_detail.png";"./assets/item_images_detail/Accumulator_max_cape_detail.png"
60;"Accumulator_max_hood_detail.png";"./assets/item_images_detail/Accumulator_max_hood_detail.png"
61;"Achievement_diary_cape_detail.png";"./assets/item_images_detail/Achievement_diary_cape_detail.png"
62;"Achievement_diary_hood_detail.png";"./assets/item_images_detail/Achievement_diary_hood_detail.png"
63;"Adamant_2h_sword_detail.png";"./assets/item_images_detail/Adamant_2h_sword_detail.png"
64;"Adamant_arrow_detail.png";"./assets/item_images_detail/Adamant_arrow_detail.png"
65;"Adamant_axe_detail.png";"./assets/item_images_detail/Adamant_axe_detail.png"
66;"Adamant_battleaxe_detail.png";"./assets/item_images_detail/Adamant_battleaxe_detail.png"
67;"Adamant_bolts_detail.png";"./assets/item_images_detail/Adamant_bolts_detail.png"
68;"Adamant_boots_detail.png";"./assets/item_images_detail/Adamant_boots_detail.png"
69;"Adamant_brutal_detail.png";"./assets/item_images_detail/Adamant_brutal_detail.png"
70;"Adamant_cane_detail.png";"./assets/item_images_detail/Adamant_cane_detail.png"
71;"Adamant_chainbody_detail.png";"./assets/item_images_detail/Adamant_chainbody_detail.png"
72;"Adamant_claws_detail.png";"./assets/item_images_detail/Adamant_claws_detail.png"
73;"Adamant_crossbow_detail.png";"./assets/item_images_detail/Adamant_crossbow_detail.png"
74;"Adamant_dagger_detail.png";"./assets/item_images_detail/Adamant_dagger_detail.png"
75;"Adamant_dart_detail.png";"./assets/item_images_detail/Adamant_dart_detail.png"
76;"Adamant_defender_detail.png";"./assets/item_images_detail/Adamant_defender_detail.png"
77;"Bronze_fire_arrows_%2528unlit%2529_detail.png";"./assets/item_images_detail/Bronze_fire_arrows_%2528unlit%2529_detail.png"
78;"Adamant_full_helm_detail.png";"./assets/item_images_detail/Adamant_full_helm_detail.png"
79;"Adamant_full_helm_%2528g%2529_detail.png";"./assets/item_images_detail/Adamant_full_helm_%2528g%2529_detail.png"
80;"Adamant_full_helm_%2528t%2529_detail.png";"./assets/item_images_detail/Adamant_full_helm_%2528t%2529_detail.png"
81;"Adamant_gloves_detail.png";"./assets/item_images_detail/Adamant_gloves_detail.png"
82;"Adamant_halberd_detail.png";"./assets/item_images_detail/Adamant_halberd_detail.png"
83;"Adamant_hasta_detail.png";"./assets/item_images_detail/Adamant_hasta_detail.png"
84;"Adamant_helm_%2528h1%2529_detail.png";"./assets/item_images_detail/Adamant_helm_%2528h1%2529_detail.png"
85;"Adamant_helm_%2528h2%2529_detail.png";"./assets/item_images_detail/Adamant_helm_%2528h2%2529_detail.png"
86;"Adamant_helm_%2528h3%2529_detail.png";"./assets/item_images_detail/Adamant_helm_%2528h3%2529_detail.png"
87;"Adamant_helm_%2528h4%2529_detail.png";"./assets/item_images_detail/Adamant_helm_%2528h4%2529_detail.png"
88;"Adamant_helm_%2528h5%2529_detail.png";"./assets/item_images_detail/Adamant_helm_%2528h5%2529_detail.png"
89;"Steel_heraldic_helm_%28Arrav%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Arrav%29_detail.png"
90;"Steel_heraldic_helm_%28Asgarnia%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Asgarnia%29_detail.png"
91;"Steel_heraldic_helm_%28Dorgeshuun%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Dorgeshuun%29_detail.png"
92;"Steel_heraldic_helm_%28Dragon%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Dragon%29_detail.png"
93;"Steel_heraldic_helm_%28Fairy%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Fairy%29_detail.png"
94;"Steel_heraldic_helm_%28Guthix%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Guthix%29_detail.png"
95;"Steel_heraldic_helm_%28HAM%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28HAM%29_detail.png"
96;"Steel_heraldic_helm_%28Horse%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Horse%29_detail.png"
97;"Steel_heraldic_helm_%28Jogre%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Jogre%29_detail.png"
98;"Steel_heraldic_helm_%28Kandarin%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Kandarin%29_detail.png"
99;"Steel_heraldic_helm_%28Misthalin%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Misthalin%29_detail.png"
100;"Steel_heraldic_helm_%28Money%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Money%29_detail.png"
101;"Steel_heraldic_helm_%28Saradomin%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Saradomin%29_detail.png"
102;"Steel_heraldic_helm_%28Skull%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Skull%29_detail.png"
103;"Adamant_heraldic_helm_%28Varrock%29_detail.png";"./assets/item_images_detail/Adamant_heraldic_helm_%28Varrock%29_detail.png"
104;"Steel_heraldic_helm_%28Zamorak%29_detail.png";"./assets/item_images_detail/Steel_heraldic_helm_%28Zamorak%29_detail.png"
105;"Adamant_javelin_detail.png";"./assets/item_images_detail/Adamant_javelin_detail.png"
106;"Adamant_kiteshield_detail.png";"./assets/item_images_detail/Adamant_kiteshield_detail.png"
107;"Steel_kiteshield_%28Arrav%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Arrav%29_detail.png"
108;"Steel_kiteshield_%28Asgarnia%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Asgarnia%29_detail.png"
109;"Steel_kiteshield_%28Dorgeshuun%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Dorgeshuun%29_detail.png"
110;"Steel_kiteshield_%28Dragon%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Dragon%29_detail.png"
111;"Steel_kiteshield_%28Fairy%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Fairy%29_detail.png"
112;"Adamant_kiteshield_%28g%29_detail.png";"./assets/item_images_detail/Adamant_kiteshield_%28g%29_detail.png"
113;"Steel_kiteshield_%28Guthix%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Guthix%29_detail.png"
114;"Steel_kiteshield_%28HAM%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28HAM%29_detail.png"
115;"Steel_kiteshield_%28Horse%29_detail.png";"./assets/item_images_detail/Steel_kiteshield_%28Horse%29_detail.png"
